[2026-06-30 15:15:20.672] [INFO] Client: /[0:0:0:0:0:0:0:1]:56209 | Method: GET | URI: /api/graph
[2026-06-30 15:15:21.683] [INFO] Client: /[0:0:0:0:0:0:0:1]:51337 | Method: GET | URI: /api/graph
[2026-06-30 15:15:22.678] [INFO] Client: /[0:0:0:0:0:0:0:1]:52156 | Method: GET | URI: /api/graph
[2026-06-30 15:15:23.673] [INFO] Client: /[0:0:0:0:0:0:0:1]:61073 | Method: GET | URI: /api/graph
[2026-06-30 15:15:24.672] [INFO] Client: /[0:0:0:0:0:0:0:1]:58146 | Method: GET | URI: /api/graph
[2026-06-30 15:15:25.666] [INFO] Client: /[0:0:0:0:0:0:0:1]:57227 | Method: GET | URI: /api/graph
[2026-06-30 15:15:26.061] [INFO] Client: /[0:0:0:0:0:0:0:1]:50329 | Method: POST | URI: /upload
[2026-06-30 15:15:26.141] [INFO] Client: /[0:0:0:0:0:0:0:1]:64484 | Method: GET | URI: /app/graph.js
[2026-06-30 15:15:26.141] [INFO] Client: /[0:0:0:0:0:0:0:1]:60465 | Method: GET | URI: /app/graph.css
[2026-06-30 15:15:26.158] [INFO] Client: /[0:0:0:0:0:0:0:1]:56943 | Method: GET | URI: /api/graph
[2026-06-30 15:15:27.172] [INFO] Client: /[0:0:0:0:0:0:0:1]:55975 | Method: GET | URI: /api/graph
[2026-06-30 15:15:28.165] [INFO] Client: /[0:0:0:0:0:0:0:1]:61366 | Method: GET | URI: /api/graph
[2026-06-30 15:15:29.174] [INFO] Client: /[0:0:0:0:0:0:0:1]:52033 | Method: GET | URI: /api/graph
[2026-06-30 15:15:30.169] [INFO] Client: /[0:0:0:0:0:0:0:1]:54637 | Method: GET | URI: /api/graph
[2026-06-30 15:15:31.160] [INFO] Client: /[0:0:0:0:0:0:0:1]:64310 | Method: GET | URI: /api/graph
[2026-06-30 15:15:32.172] [INFO] Client: /[0:0:0:0:0:0:0:1]:62596 | Method: GET | URI: /api/graph
[2026-06-30 15:15:33.167] [INFO] Client: /[0:0:0:0:0:0:0:1]:49743 | Method: GET | URI: /api/graph
[2026-06-30 15:15:34.163] [INFO] Client: /[0:0:0:0:0:0:0:1]:49856 | Method: GET | URI: /api/graph
[2026-06-30 15:15:35.159] [INFO] Client: /[0:0:0:0:0:0:0:1]:62941 | Method: GET | URI: /api/graph
[2026-06-30 15:15:36.166] [INFO] Client: /[0:0:0:0:0:0:0:1]:62617 | Method: GET | URI: /api/graph
[2026-06-30 15:15:37.173] [INFO] Client: /[0:0:0:0:0:0:0:1]:54424 | Method: GET | URI: /api/graph
[2026-06-30 15:15:38.171] [INFO] Client: /[0:0:0:0:0:0:0:1]:60011 | Method: GET | URI: /api/graph
[2026-06-30 15:15:39.162] [INFO] Client: /[0:0:0:0:0:0:0:1]:65117 | Method: GET | URI: /api/graph
[2026-06-30 15:15:40.170] [INFO] Client: /[0:0:0:0:0:0:0:1]:53107 | Method: GET | URI: /api/graph
[2026-06-30 15:15:41.167] [INFO] Client: /[0:0:0:0:0:0:0:1]:59407 | Method: GET | URI: /api/graph
[2026-06-30 15:15:42.164] [INFO] Client: /[0:0:0:0:0:0:0:1]:53649 | Method: GET | URI: /api/graph
[2026-06-30 15:15:43.171] [INFO] Client: /[0:0:0:0:0:0:0:1]:54590 | Method: GET | URI: /api/graph
[2026-06-30 15:15:44.167] [INFO] Client: /[0:0:0:0:0:0:0:1]:64883 | Method: GET | URI: /api/graph
[2026-06-30 15:15:45.165] [INFO] Client: /[0:0:0:0:0:0:0:1]:56800 | Method: GET | URI: /api/graph
[2026-06-30 15:15:46.167] [INFO] Client: /[0:0:0:0:0:0:0:1]:53074 | Method: GET | URI: /api/graph
[2026-06-30 15:15:47.168] [INFO] Client: /[0:0:0:0:0:0:0:1]:52533 | Method: GET | URI: /api/graph
[2026-06-30 15:15:48.162] [INFO] Client: /[0:0:0:0:0:0:0:1]:59771 | Method: GET | URI: /api/graph
[2026-06-30 15:15:49.162] [INFO] Client: /[0:0:0:0:0:0:0:1]:65286 | Method: GET | URI: /api/graph
[2026-06-30 15:15:50.170] [INFO] Client: /[0:0:0:0:0:0:0:1]:50068 | Method: GET | URI: /api/graph
[2026-06-30 15:15:51.162] [INFO] Client: /[0:0:0:0:0:0:0:1]:62336 | Method: GET | URI: /api/graph
